"ID","Heard_of_brand","Purchased_last6mo","Satisfaction","Buying_likelihood","Recommend_likelihood","is_relaxing","is_wholesome","is_fun","is_exciting","is_premium_quality","is_memorable","is_treat","is_good_for_regular","is_interesting","taste_better_other_brands","has_many_flavors","is_enjoyable","has_best_value/price","is_organic","is_low_cal","is_great_for_family","is_great_for_guests","Gender","Age","Marital","Children_less_18","Household_size","Education","Employment","Ethnicity","Household_income","Residence_state","Satisfaction_cat","Buying_likelihood_cat","Recommend_likehood_cat","is_relaxing.1","is_wholesome.1","is_fun.1","is_exciting.1","is_premium_quality.1","is_memorable.1","is_treat.1","is_good_for_regular.1","is_interesting.1","taste_better_other_brands.1","has_many_flavors.1","is_enjoyable.1","has_best_value/price.1","is_organic.1","is_low_cal.1","is_great_for_family.1","is_great_for_guests.1"
10834603,"yes","no",NA,NA,NA,4,4,4,4,4,3,3,5,4,5,4,2,3,4,1,7,6,"Male","35-44","Married","No",3,"Advanced Degree (Master's, PhD.D.)","Employed full-time (30+ hrs)","Advanced Degree (Master's, PhD.D.)","$50,000 just under $75,000",5,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Not Somewhat does describe","Not Somewhat does describe","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Does not describe","Not Somewhat does describe","Neither does nor does not describe","Does not describe at all","Describes extremely well","Does describe well"
10834607,"yes","no",NA,NA,NA,6,4,6,2,4,2,2,5,5,5,6,6,5,2,2,6,6,"Female","45-54","Married","No",3,"Advanced Degree (Master's, PhD.D.)","Employed part time","High school or less","$200,000 or more",1,NA,NA,NA,"Does describe well","Neither does nor does not describe","Does describe well","Does not describe","Neither does nor does not describe","Does not describe","Does not describe","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Does describe well","Does describe well","Somewhat does describe well","Does not describe","Does not describe","Does describe well","Does describe well"
10834627,"yes","no",NA,NA,NA,5,6,5,5,4,5,6,5,5,4,6,5,4,6,5,6,6,"Female","65 or older","Widowed","No",1,"Some college or Associate's Degree","Homemaker","High school or less","$50,000 just under $75,000",3,NA,NA,NA,"Somewhat does describe well","Does describe well","Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Does describe well","Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Does describe well","Somewhat does describe well","Neither does nor does not describe","Does describe well","Somewhat does describe well","Does describe well","Does describe well"
10834662,"yes","no",NA,NA,NA,4,4,4,4,4,4,1,3,5,4,4,4,4,4,4,4,4,"Female","65 or older","Single, living with domestic partner","No",2,"Advanced Degree (Master's, PhD.D.)","Retired","High school or less","$100,000 just under $125,000",44,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Does not describe at all","Not Somewhat does describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe"
10834679,"yes","no",NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Male","25-34","Married","No",2,"Some college or Associate's Degree","Employed full-time (30+ hrs)","High school or less","under $50,000",43,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe"
10834722,"yes","no",NA,NA,NA,2,3,3,3,4,3,4,3,4,4,5,4,4,2,2,4,4,"Male","65 or older","Separated","No",2,"Graduated College/Bachelor's Degree","Employed full-time (30+ hrs)","High school or less","$50,000 just under $75,000",13,NA,NA,NA,"Does not describe","Not Somewhat does describe","Not Somewhat does describe","Not Somewhat does describe","Neither does nor does not describe","Not Somewhat does describe","Neither does nor does not describe","Not Somewhat does describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Does not describe","Does not describe","Neither does nor does not describe","Neither does nor does not describe"
10834727,"yes","no",NA,NA,NA,4,4,4,4,4,4,4,5,4,4,4,4,4,4,7,4,5,"Female","65 or older","Married","No",2,"High school or less","Homemaker","High school or less","under $50,000",15,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Describes extremely well","Neither does nor does not describe","Somewhat does describe well"
10834844,"yes","no",NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Female","35-44","Single, living with domestic partner","Yes",3,"Some college or Associate's Degree","Employed full-time (30+ hrs)","High school or less","$100,000 just under $125,000",39,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe"
10834872,"yes","no",NA,NA,NA,2,4,4,4,4,4,4,4,4,5,7,5,5,4,4,5,5,"Female","25-34","Single, living with domestic partner","No",2,"Attended Graduate School","Employed full-time (30+ hrs)","High school or less","$50,000 just under $75,000",24,NA,NA,NA,"Does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Describes extremely well","Somewhat does describe well","Somewhat does describe well","Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Somewhat does describe well"
10834924,"yes","no",NA,NA,NA,6,4,4,2,5,4,3,4,2,6,6,5,6,4,3,3,6,"Male","45-54","Married","No",3,"Advanced Degree (Master's, PhD.D.)","Employed full-time (30+ hrs)","High school or less","$175,000 just under $200,000",31,NA,NA,NA,"Does describe well","Neither does nor does not describe","Neither does nor does not describe","Does not describe","Somewhat does describe well","Neither does nor does not describe","Not Somewhat does describe","Neither does nor does not describe","Does not describe","Does describe well","Does describe well","Somewhat does describe well","Does describe well","Neither does nor does not describe","Not Somewhat does describe","Not Somewhat does describe","Does describe well"
10834934,"yes","no",NA,NA,NA,4,4,5,4,6,7,5,5,6,6,7,6,5,4,5,7,7,"Female","25-34","Single, not living with domestic partner","No",4,"Graduated College/Bachelor's Degree","Employed full-time (30+ hrs)","Graduated College/Bachelor's Degree","$50,000 just under $75,000",5,NA,NA,NA,"Neither does nor does not describe","Neither does nor does not describe","Somewhat does describe well","Neither does nor does not describe","Does describe well","Describes extremely well","Somewhat does describe well","Somewhat does describe well","Does describe well","Does describe well","Describes extremely well","Does describe well","Somewhat does describe well","Neither does nor does not describe","Somewhat does describe well","Describes extremely well","Describes extremely well"
10834968,"yes","no",NA,NA,NA,5,5,5,5,6,5,6,6,5,6,6,6,4,6,3,5,6,"Male","65 or older","Married","No",2,"Trade/Technical school","Retired","High school or less","under $50,000",36,NA,NA,NA,"Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Somewhat does describe well","Does describe well","Somewhat does describe well","Does describe well","Does describe well","Somewhat does describe well","Does describe well","Does describe well","Does describe well","Neither does nor does not describe","Does describe well","Not Somewhat does describe","Somewhat does describe well","Does describe well"
